X,Y
-0.139057647	,	-0.427975432
0	,	-0.45
0.139057647	,	-0.427975432
-0.364057647	,	-0.264503364
-0.18	,	-0.234
0	,	-0.225
0.18	,	-0.234
0.364057647	,	-0.264503364
-0.304764412	,	-0.124625841
-0.10125	,	-0.11475
0.10125	,	-0.11475
0.304764412	,	-0.124625841
-0.4815	,	0.1125
-0.45	,	0
-0.225	,	0
0	,	0
0.225	,	0
0.45	,	0
0.4815	,	0.1125
-0.304764412	,	0.124625841
-0.10125	,	0.11475
0.10125	,	0.11475
0.304764412	,	0.124625841
-0.364057647	,	0.264503364
-0.18	,	0.234
0	,	0.225
0.18	,	0.234
0.364057647	,	0.264503364
0	,	0.3375
-0.139057647	,	0.427975432
0	,	0.45
0.139057647	,	0.427975432
0	,	0

